id_motorista,nome_completo,cpf,registro_cnh,categoria,data_emissao,data_vencimento,snapshot_date
1,Adriana Alves,719.814.729-81,413640214,AB,2020-02-02,2030-01-30,2026-04-20 20:49:12.753856
2,Ana Santos,808.302.248-36,749141420,AB,2013-08-11,2023-08-09,2026-04-20 20:49:12.753856
3,Ana Lima,507.606.368-64,873396330,D,2012-04-27,2022-04-25,2026-04-20 20:49:12.753856
4,Paulo Oliveira,869.175.193-26,967015885,AD,2014-11-12,2024-11-09,2026-04-20 20:49:12.753856
5,Ricardo Ferreira,132.679.483-29,955162769,AE,2012-04-01,2022-03-30,2026-04-20 20:49:12.753856
6,Fernanda Rodrigues,814.189.283-78,941766099,AB,2019-10-26,2029-10-23,2026-04-20 20:49:12.753856
7,Carlos Rodrigues,927.958.958-23,503981984,A,2014-10-08,2024-10-05,2026-04-20 20:49:12.753856
8,Ricardo Alves,575.729.620-43,860324770,AB,2022-08-16,2032-08-13,2026-04-20 20:49:12.753856
9,Fernanda Ferreira,590.839.793-14,500912259,A,2020-01-29,2030-01-26,2026-04-20 20:49:12.753856
10,Joao Gomes,476.572.311-34,534560208,AC,2019-11-19,2029-11-16,2026-04-20 20:49:12.753856
11,Ricardo Souza,366.186.569-90,862058200,A,2014-08-24,2024-08-21,2026-04-20 20:49:12.753856
12,Ricardo Silva,349.501.507-12,517426167,AC,2017-05-24,2027-05-22,2026-04-20 20:49:12.753856
13,Beatriz Lima,360.948.330-96,469750125,AC,2021-09-02,2031-08-31,2026-04-20 20:49:12.753856
14,Maria Pereira,171.965.393-17,940841819,AD,2011-10-23,2021-10-20,2026-04-20 20:49:12.753856
15,Maria Pereira,562.697.945-27,565932036,E,2020-06-23,2030-06-21,2026-04-20 20:49:12.753856
16,Joao Lima,709.656.670-10,632697809,AD,2022-12-23,2032-12-20,2026-04-20 20:49:12.753856
17,Joao Rodrigues,518.281.924-79,315722060,AB,2021-10-05,2031-10-03,2026-04-20 20:49:12.753856
18,Fernanda Lima,952.302.713-59,993941750,C,2011-05-28,2021-05-25,2026-04-20 20:49:12.753856
19,Paulo Souza,707.213.617-92,742571874,AC,2014-02-17,2024-02-15,2026-04-20 20:49:12.753856
20,Fernanda Silva,143.383.140-13,668875859,A,2020-03-14,2030-03-12,2026-04-20 20:49:12.753856
21,Ana Oliveira,589.399.367-67,671402376,B,2010-05-02,2020-04-29,2026-04-20 20:49:12.753856
22,Jose Rodrigues,491.795.913-97,451285698,AC,2021-03-30,2031-03-28,2026-04-20 20:49:12.753856
23,Paulo Silva,349.813.698-34,766619182,AC,2022-10-06,2032-10-03,2026-04-20 20:49:12.753856
24,Fernanda Ferreira,670.411.337-32,240735366,E,2019-09-09,2029-09-06,2026-04-20 20:49:12.753856
25,Ana Santos,616.590.568-70,416681260,AB,2015-01-29,2025-01-26,2026-04-20 20:49:12.753856
26,Jose Rodrigues,613.192.461-71,327760048,AB,2019-11-29,2029-11-26,2026-04-20 20:49:12.753856
27,Joao Lima,304.442.129-45,807717747,AE,2021-04-03,2031-04-01,2026-04-20 20:49:12.753856
28,Joao Pereira,713.247.479-22,339657278,B,2012-10-08,2022-10-06,2026-04-20 20:49:12.753856
29,Beatriz Pereira,988.296.284-91,357784804,AB,2013-12-26,2023-12-24,2026-04-20 20:49:12.754367
30,Jose Oliveira,180.169.386-88,945273539,B,2017-07-06,2027-07-04,2026-04-20 20:49:12.754367
31,Paulo Pereira,739.133.699-18,489344809,B,2011-09-25,2021-09-22,2026-04-20 20:49:12.754367
32,Jose Silva,685.924.687-41,615309287,AC,2018-10-08,2028-10-05,2026-04-20 20:49:12.754367
33,Ana Souza,603.631.184-82,335216984,AB,2021-07-06,2031-07-04,2026-04-20 20:49:12.754367
34,Ricardo Oliveira,594.491.904-71,506770678,E,2014-11-17,2024-11-14,2026-04-20 20:49:12.754367
35,Ricardo Rodrigues,234.168.149-34,186457003,AD,2014-06-13,2024-06-10,2026-04-20 20:49:12.754367
36,Joao Lima,492.224.406-55,729418701,AB,2010-03-14,2020-03-11,2026-04-20 20:49:12.754367
37,Joao Alves,391.724.890-24,200326490,AD,2017-04-25,2027-04-23,2026-04-20 20:49:12.754367
38,Paulo Alves,530.941.579-95,622656457,A,2013-09-28,2023-09-26,2026-04-20 20:49:12.754367
39,Fernanda Pereira,460.174.519-46,776037465,AB,2021-10-06,2031-10-04,2026-04-20 20:49:12.754367
40,Adriana Ferreira,883.744.887-96,154990600,AC,2010-01-08,2020-01-06,2026-04-20 20:49:12.754367
41,Ana Silva,589.320.940-68,385281612,AE,2016-11-15,2026-11-13,2026-04-20 20:49:12.754367
42,Adriana Pereira,101.628.722-81,385589421,AD,2013-12-13,2023-12-11,2026-04-20 20:49:12.754367
43,Adriana Gomes,715.813.406-82,421458746,AE,2022-08-24,2032-08-21,2026-04-20 20:49:12.754367
