id_motorista,nome_completo,cpf,registro_cnh,categoria,data_emissao,data_vencimento,snapshot_date
1,Jose Santos,433.404.305-87,347459223,AC,2017-11-19,2027-11-17,2026-04-22 21:46:34.562137
2,Carlos Rodrigues,832.177.378-75,845976379,D,2022-06-14,2032-06-11,2026-04-22 21:46:34.562147
3,Beatriz Gomes,929.653.813-64,241437279,C,2010-04-30,2020-04-27,2026-04-22 21:46:34.562154
4,Carlos Silva,760.622.775-97,425141286,E,2014-04-12,2024-04-09,2026-04-22 21:46:34.562159
5,Jose Oliveira,425.788.965-50,930601807,AB,2020-06-29,2030-06-27,2026-04-22 21:46:34.562164
6,Joao Ferreira,639.709.772-37,522963052,AE,2018-10-01,2028-09-28,2026-04-22 21:46:34.562169
7,Ana Lima,861.475.978-86,748269994,B,2014-11-02,2024-10-30,2026-04-22 21:46:34.562173
8,Ricardo Lima,728.668.630-76,525662634,B,2011-08-27,2021-08-24,2026-04-22 21:46:34.562177
9,Adriana Alves,856.136.145-17,270444566,AE,2023-04-15,2033-04-12,2026-04-22 21:46:34.562181
10,Joao Santos,277.452.241-27,467022612,AD,2023-02-22,2033-02-19,2026-04-22 21:46:34.562185
11,Paulo Alves,716.601.413-67,690189904,AC,2021-06-09,2031-06-07,2026-04-22 21:46:34.562189
12,Paulo Silva,485.811.830-74,948461037,C,2014-03-08,2024-03-05,2026-04-22 21:46:34.562193
13,Fernanda Souza,135.751.546-75,494441377,AB,2016-04-04,2026-04-02,2026-04-22 21:46:34.562197
14,Joao Lima,321.951.918-63,795859599,AC,2011-06-09,2021-06-06,2026-04-22 21:46:34.562201
15,Beatriz Oliveira,906.415.172-71,484950477,AB,2012-03-04,2022-03-02,2026-04-22 21:46:34.562205
16,Maria Rodrigues,509.822.287-57,682638857,AB,2015-10-28,2025-10-25,2026-04-22 21:46:34.562209
17,Adriana Alves,538.418.130-18,558577874,B,2021-01-12,2031-01-10,2026-04-22 21:46:34.562218
18,Adriana Oliveira,121.911.534-88,504077086,AD,2014-04-12,2024-04-09,2026-04-22 21:46:34.562222
19,Fernanda Pereira,508.883.356-69,720206120,E,2019-03-05,2029-03-02,2026-04-22 21:46:34.562226
20,Joao Rodrigues,741.341.730-59,564000233,D,2011-08-24,2021-08-21,2026-04-22 21:46:34.562230
21,Ricardo Lima,184.765.455-31,160024865,AC,2013-12-02,2023-11-30,2026-04-22 21:46:34.562233
22,Beatriz Silva,854.720.224-30,486200025,A,2012-09-03,2022-09-01,2026-04-22 21:46:34.562239
23,Joao Alves,364.411.139-84,213814460,B,2021-10-27,2031-10-25,2026-04-22 21:46:34.562243
24,Adriana Ferreira,851.674.256-33,912514535,E,2014-10-26,2024-10-23,2026-04-22 21:46:34.562249
25,Maria Oliveira,941.107.401-98,796730488,A,2019-06-15,2029-06-12,2026-04-22 21:46:34.562253
26,Ana Santos,739.308.832-17,716375710,D,2022-05-07,2032-05-04,2026-04-22 21:46:34.562257
27,Ricardo Ferreira,472.955.939-20,395512588,AC,2019-11-23,2029-11-20,2026-04-22 21:46:34.562261
28,Adriana Souza,288.889.850-72,241095545,AB,2015-12-08,2025-12-05,2026-04-22 21:46:34.562265
29,Ricardo Alves,964.190.871-75,485318126,B,2014-12-09,2024-12-06,2026-04-22 21:46:34.562269
30,Ana Oliveira,514.680.795-87,874200000,AC,2018-09-09,2028-09-06,2026-04-22 21:46:34.562273
31,Ana Ferreira,933.478.855-60,953957951,E,2015-11-08,2025-11-05,2026-04-22 21:46:34.562276
32,Beatriz Alves,803.600.865-60,529341339,AB,2014-11-13,2024-11-10,2026-04-22 21:46:34.562280
33,Paulo Alves,468.288.797-11,472968863,AE,2010-10-05,2020-10-02,2026-04-22 21:46:34.562284
34,Paulo Rodrigues,653.747.813-72,734797521,AB,2013-11-03,2023-11-01,2026-04-22 21:46:34.562290
35,Adriana Oliveira,332.867.385-77,270121109,E,2014-12-09,2024-12-06,2026-04-22 21:46:34.562294
36,Joao Gomes,776.132.972-36,483046526,E,2022-08-16,2032-08-13,2026-04-22 21:46:34.562298
37,Joao Silva,496.339.957-42,974312397,AE,2020-04-28,2030-04-26,2026-04-22 21:46:34.562301
38,Jose Alves,312.487.381-51,706659059,AB,2015-10-20,2025-10-17,2026-04-22 21:46:34.562305
39,Ana Pereira,317.545.837-52,236052638,B,2020-01-07,2030-01-04,2026-04-22 21:46:34.562309
40,Adriana Lima,898.965.215-10,333376246,AE,2012-08-18,2022-08-16,2026-04-22 21:46:34.562313
41,Carlos Gomes,626.329.245-48,550528903,AE,2012-07-26,2022-07-24,2026-04-22 21:46:34.562317
42,Paulo Oliveira,124.363.901-35,656271959,A,2023-08-04,2033-08-01,2026-04-22 21:46:34.562323
43,Beatriz Silva,478.807.461-77,328554262,E,2020-01-25,2030-01-22,2026-04-22 21:46:34.562327
44,Fernanda Souza,971.270.991-34,798621925,AE,2015-03-14,2025-03-11,2026-04-22 21:46:34.562331
45,Ricardo Rodrigues,640.808.541-27,351939059,C,2018-09-02,2028-08-30,2026-04-22 21:46:34.562338
46,Adriana Lima,518.623.805-81,789085306,AD,2016-08-16,2026-08-14,2026-04-22 21:46:34.562342
47,Joao Silva,369.560.924-68,966823195,A,2020-04-13,2030-04-11,2026-04-22 21:46:34.562346
48,Jose Gomes,217.150.173-75,141336897,AB,2017-05-31,2027-05-29,2026-04-22 21:46:34.562350
49,Adriana Gomes,583.167.492-20,189391603,A,2017-04-28,2027-04-26,2026-04-22 21:46:34.562354
50,Beatriz Souza,339.581.694-41,673991288,AD,2019-07-04,2029-07-01,2026-04-22 21:46:34.562358
